,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
45,44.6,Dominica,Latin America & Caribbean,71991,504214815,46.8,44.2,38.0,45.7,100.0,47.5,53.7,43.3,52.8,52.8,62.4,62.4,43.1,56.3,80.2,85.0,0.4,75.2,,,44.3,5.3,0.0,100.0,,31.0,,31.0,,55.1,51.9,74.5,,61.2,42.5,82.5,20.6,63.5,47.3,42.3,52.3,17.8,17.8,1.0,1.0
102,44.4,Moldova,Former Soviet States,2620495,11915547263,45.6,44.3,41.7,46.8,53.4,50.0,48.9,50.6,54.7,54.7,13.8,13.8,43.6,27.9,20.9,22.1,,14.5,80.6,2.5,40.2,45.8,39.8,100.0,100.0,,,,,52.2,43.0,82.3,86.9,0.0,54.3,36.9,43.4,67.4,76.1,52.2,100.0,50.8,50.8,9.0,9.0
168,44.3,Uzbekistan,Former Soviet States,34232050,59929951114,29.7,15.0,0.3,32.8,34.5,52.0,49.2,53.8,27.8,27.8,0.0,0.0,54.1,37.6,19.2,35.0,,1.7,75.2,49.2,65.9,70.4,72.2,52.2,56.0,,,,,65.9,67.9,44.0,78.7,21.2,97.2,91.6,97.1,43.2,70.9,68.5,73.2,47.5,47.5,0.0,0.0
21,44.3,Bolivia,Latin America & Caribbean,11673029,36572764863,35.9,32.4,34.5,28.4,39.8,40.0,42.5,38.3,43.7,43.7,31.1,31.1,49.8,83.6,97.1,96.7,,50.5,75.0,90.3,65.8,30.0,28.2,47.6,43.6,,,,,40.0,29.6,48.6,91.3,56.5,2.7,58.2,45.2,26.3,26.4,38.1,14.6,68.9,68.9,3.5,3.5
139,44.0,Saudi Arabia,Greater Middle East,34813867,700117873253,47.2,37.4,10.0,76.2,29.0,59.3,71.9,50.9,35.4,35.4,61.4,61.4,41.8,38.8,28.0,28.0,20.7,6.0,97.5,56.6,74.2,96.9,100.0,38.5,100.0,18.5,12.3,24.7,,37.5,32.8,44.8,90.9,35.2,6.3,0.0,30.7,0.0,34.7,32.2,37.1,64.3,64.3,11.8,11.8
129,44.0,Peru,Latin America & Caribbean,32971846,202014363787,45.1,46.0,47.6,40.4,72.9,43.0,43.7,42.6,68.2,68.2,30.0,30.0,43.2,59.5,85.6,81.7,1.6,56.7,74.7,67.9,58.1,37.0,35.6,55.5,43.0,18.7,25.1,8.1,23.6,41.3,27.9,58.1,89.7,60.3,16.6,36.0,41.4,59.4,41.0,69.1,12.9,37.1,37.1,46.4,46.4
17,43.5,Bahamas,Latin America & Caribbean,393248,9907500000,53.1,55.6,46.0,67.5,66.6,55.0,65.8,47.7,67.1,67.1,0.0,0.0,37.0,78.8,100.0,100.0,71.3,51.7,99.4,32.5,62.3,31.6,25.4,98.0,76.1,9.9,9.4,10.4,,28.7,24.1,56.9,,44.0,0.0,42.9,0.0,29.9,18.0,18.7,17.4,14.0,14.0,1.4,1.4
50,43.3,Egypt,Greater Middle East,102334403,365252651279,33.8,35.3,0.0,85.0,24.9,36.6,36.7,36.6,13.5,13.5,16.3,16.3,49.7,50.6,75.4,42.4,10.3,10.6,97.0,65.1,77.1,62.5,61.1,100.0,50.6,12.1,9.5,14.7,,55.0,52.9,54.9,93.1,55.8,18.0,21.0,53.4,60.4,56.3,54.3,58.4,53.0,53.0,42.0,42.0
145,43.1,El Salvador,Latin America & Caribbean,6486201,24638720000,42.5,42.6,44.8,38.6,49.6,41.6,43.1,40.6,35.5,35.5,55.5,55.5,43.5,35.8,41.3,43.8,2.7,27.9,84.2,26.2,44.7,33.5,32.7,42.9,38.6,5.5,0.0,10.9,,62.8,40.4,100.0,89.3,100.0,100.0,96.8,45.2,76.8,86.3,100.0,72.6,23.9,23.9,0.1,0.1
95,43.1,Saint Lucia,Latin America & Caribbean,183629,1616772741,47.8,46.3,36.1,53.7,100.0,45.4,50.3,42.1,51.8,51.8,77.5,77.5,40.0,36.9,59.6,29.5,1.8,66.6,,,46.8,50.7,47.9,,100.0,16.2,,16.2,,54.8,50.7,68.3,95.3,22.1,30.2,70.0,26.5,60.5,36.7,36.9,36.5,6.4,6.4,0.9,0.9
67,43.1,Grenada,Latin America & Caribbean,112519,1042100556,46.3,42.9,31.3,54.2,79.8,47.0,51.2,44.2,41.9,41.9,78.8,78.8,40.9,31.5,51.2,18.7,1.0,67.1,,,42.9,43.6,40.2,49.5,100.0,15.8,,15.8,,59.0,57.8,54.7,94.2,28.3,32.3,100.0,49.7,63.4,40.0,35.9,44.1,28.9,28.9,0.9,0.9
