Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
Fiji,34.4,34.7,30.0,31.5,22.6,73.9,34.6,38.8,31.9,77.0,77.0,40.0,40.0,34.2,25.1,14.4,9.0,9.5,6.1,88.6,19.0,72.1,38.1,38.1,,,59.7,10.7,100.0,69.9,36.9,18.6,79.1,,65.3,67.7,53.9,31.4,61.2,53.2,100.0,6.5,11.1,11.1,3.9,3.9
Finland,78.9,99.3,98.8,100.0,100.0,75.3,100.0,100.0,100.0,100.0,100.0,97.7,97.7,65.3,75.5,72.8,72.8,100.0,26.4,61.6,99.6,75.8,20.8,18.4,49.0,35.0,12.8,22.9,12.0,2.1,77.0,74.3,100.0,93.3,63.8,75.1,64.5,56.1,18.7,93.1,100.0,86.2,52.4,52.4,100.0,100.0
France,80.0,91.5,88.1,82.2,100.0,58.0,96.2,100.0,93.6,84.0,84.0,94.8,94.8,72.3,88.3,100.0,100.0,100.0,50.2,88.6,100.0,43.8,36.1,33.6,70.6,45.0,12.1,14.4,,9.4,81.9,79.5,100.0,93.9,69.5,100.0,61.3,56.7,36.7,100.0,100.0,100.0,65.2,65.2,88.0,88.0
Gabon,45.8,27.9,28.2,16.1,42.2,49.5,27.6,28.4,27.1,54.1,54.1,0.0,0.0,57.8,86.0,89.9,95.2,100.0,30.7,96.6,90.6,71.5,44.7,44.7,42.8,45.2,7.3,5.5,9.1,,63.8,49.6,100.0,89.8,52.7,52.9,42.7,100.0,49.3,90.2,91.0,89.4,20.6,20.6,0.0,0.0
Gambia,27.9,21.4,23.9,32.7,10.5,33.3,19.1,19.6,18.9,37.1,37.1,0.0,0.0,32.1,32.6,23.2,31.7,0.0,30.1,90.1,48.3,47.5,41.1,40.7,33.7,55.6,10.6,,7.5,14.2,35.8,24.0,52.3,,78.9,42.6,57.7,25.6,93.8,53.9,55.9,51.8,36.1,36.1,0.1,0.1
Georgia,41.3,38.7,31.1,31.9,29.3,37.5,51.6,50.9,52.2,49.9,49.9,0.0,0.0,43.1,46.2,53.7,53.7,0.0,28.8,95.4,75.8,47.4,78.0,81.5,51.6,41.6,4.4,,5.5,3.2,50.1,35.9,82.3,83.9,40.1,26.5,100.0,45.9,59.5,0.9,0.0,1.8,16.9,16.9,46.6,46.6
Germany,77.2,89.6,81.1,70.4,100.0,46.4,99.0,100.0,98.4,90.7,90.7,97.9,97.9,68.9,88.8,100.0,100.0,100.0,56.4,86.1,99.9,45.6,39.7,38.2,65.4,40.2,14.0,4.9,34.5,0.9,71.5,60.6,100.0,94.6,82.4,92.1,69.1,52.2,23.2,96.0,91.9,100.0,61.9,61.9,97.0,97.0
Ghana,27.6,20.1,18.0,17.1,17.8,29.2,20.8,21.5,20.3,55.3,55.3,0.0,0.0,32.6,58.9,78.9,84.3,1.1,38.8,84.5,88.9,48.4,15.4,13.7,43.8,17.0,9.0,6.9,11.2,,29.6,10.6,33.5,89.6,37.7,41.9,44.4,48.4,89.9,31.5,45.1,17.8,41.0,41.0,0.0,0.0
Greece,69.1,80.6,67.5,57.6,84.0,43.4,98.2,95.5,100.0,69.4,69.4,83.0,83.0,61.4,72.6,100.0,100.0,40.5,32.1,89.7,86.0,37.2,43.9,42.8,62.9,44.1,15.7,4.5,29.5,12.7,66.5,58.5,88.6,90.3,82.5,80.7,67.5,28.8,27.4,78.9,85.8,72.1,52.6,52.6,81.7,81.7
Grenada,43.1,46.3,42.9,31.3,54.2,79.8,47.0,51.2,44.2,41.9,41.9,78.8,78.8,40.9,31.5,51.2,18.7,1.0,67.1,,,42.9,43.6,40.2,49.5,100.0,15.8,,15.8,,59.0,57.8,54.7,94.2,28.3,32.3,100.0,49.7,63.4,40.0,35.9,44.1,28.9,28.9,0.9,0.9
Guatemala,31.8,30.8,34.3,41.2,21.7,59.2,28.2,29.9,27.1,30.6,30.6,16.6,16.6,32.5,41.3,76.6,50.2,0.2,53.4,0.0,56.8,49.4,19.5,18.0,39.6,26.7,15.4,15.0,15.9,,36.7,26.5,43.6,89.6,34.5,0.0,72.1,24.7,76.9,44.8,69.6,20.1,28.7,28.7,6.8,6.8
Guinea,26.4,18.6,24.7,37.8,6.1,30.0,11.2,11.7,10.9,32.9,32.9,2.5,2.5,31.5,59.9,99.7,88.2,0.0,18.3,83.1,71.6,50.5,11.5,9.4,9.4,50.4,14.4,28.1,11.6,1.7,26.8,30.2,5.2,,19.0,42.0,0.0,36.7,72.7,30.0,18.3,41.6,35.0,35.0,0.0,0.0
Guinea-Bissau,29.1,15.1,22.1,32.8,6.4,29.2,6.7,7.0,6.5,28.5,28.5,0.0,0.0,38.4,72.2,90.9,99.4,59.3,28.7,69.4,73.3,51.3,22.1,16.0,54.6,100.0,5.2,3.5,6.9,,33.6,24.5,47.8,,44.3,56.4,14.0,42.1,85.1,56.1,63.7,48.5,27.5,27.5,0.0,0.0
Guyana,35.9,33.5,31.9,20.6,39.1,100.0,35.3,39.4,32.5,24.9,24.9,44.2,44.2,37.5,51.0,48.9,56.5,0.0,78.2,94.5,57.8,69.2,52.3,50.6,85.8,49.7,7.7,7.3,8.0,,38.2,36.3,28.1,,70.6,45.7,44.1,44.4,42.7,28.6,23.4,33.8,40.2,40.2,0.0,0.0
Haiti,27.0,21.8,31.1,47.5,7.8,37.1,14.0,14.4,13.8,12.1,12.1,0.9,0.9,30.5,34.5,38.3,53.7,6.9,30.9,44.1,31.1,41.0,26.2,22.8,67.9,46.4,16.7,18.9,14.5,,37.0,34.8,29.5,,60.7,45.7,41.6,23.2,86.4,23.8,36.9,10.6,31.4,31.4,0.0,0.0
Honduras,37.8,33.4,35.4,46.9,19.4,35.6,31.8,33.2,30.8,20.7,20.7,40.3,40.3,40.7,59.9,79.9,79.4,39.6,52.4,24.2,75.2,49.3,21.2,16.9,58.5,61.4,17.6,16.5,18.7,,43.1,37.7,62.8,,36.9,33.5,54.2,38.5,74.8,60.9,65.4,56.4,27.5,27.5,3.1,3.1
Hungary,63.7,54.1,42.8,43.0,43.7,33.5,62.2,64.7,60.5,68.2,68.2,89.2,89.2,70.0,82.0,100.0,100.0,,30.8,88.5,100.0,37.1,28.2,24.7,76.1,43.4,,,,,71.3,66.4,100.0,89.8,23.2,94.2,56.3,52.5,35.8,96.9,93.8,100.0,73.1,73.1,53.8,53.8
